date,year,month,item_id,item_name,department,category,criticality,lead_time_days,unit_cost_inr,hot_metal_production_mt,plant_operating_hours,is_planned_shutdown,actual_consumption
2017-04-30,2017,4,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,371953,705,0,11
2017-05-31,2017,5,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,376346,705,0,16
2017-06-30,2017,6,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,370981,716,0,14
2017-07-31,2017,7,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,374614,700,0,13
2017-08-31,2017,8,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,384699,714,0,14
2017-09-30,2017,9,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,373314,717,0,13
2017-10-31,2017,10,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,367956,701,0,18
2017-11-30,2017,11,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,371175,714,1,14
2017-12-31,2017,12,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,386722,709,0,15
2018-01-31,2018,1,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,382633,715,0,13
2018-02-28,2018,2,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,391632,709,0,14
2018-03-31,2018,3,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,358970,700,1,17
2018-04-30,2018,4,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,368502,710,0,16
2018-05-31,2018,5,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,378019,708,0,14
2018-06-30,2018,6,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,373498,701,0,15
2018-07-31,2018,7,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,373346,718,0,11
2018-08-31,2018,8,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,383742,717,0,14
2018-09-30,2018,9,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,375558,717,0,15
2018-10-31,2018,10,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,390651,717,0,16
2018-11-30,2018,11,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,374190,704,1,15
2018-12-31,2018,12,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,389872,717,0,13
2019-01-31,2019,1,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,376948,708,0,12
2019-02-28,2019,2,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,374073,706,0,12
2019-03-31,2019,3,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,375754,710,1,15
2019-04-30,2019,4,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,370143,719,0,15
2019-05-31,2019,5,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,363141,705,0,13
2019-06-30,2019,6,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,377646,710,0,12
2019-07-31,2019,7,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,375531,702,0,12
2019-08-31,2019,8,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,379350,704,0,11
2019-09-30,2019,9,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,385113,704,0,14
2019-10-31,2019,10,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,371157,712,0,17
2019-11-30,2019,11,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,381123,701,1,18
2019-12-31,2019,12,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,373370,703,0,14
2020-01-31,2020,1,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,378991,713,0,12
2020-02-29,2020,2,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,378309,704,0,13
2020-03-31,2020,3,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,370240,713,1,16
2020-04-30,2020,4,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,382914,702,0,13
2020-05-31,2020,5,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,372342,718,0,13
2020-06-30,2020,6,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,375554,713,0,14
2020-07-31,2020,7,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,379953,710,0,14
2020-08-31,2020,8,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,375797,717,0,11
2020-09-30,2020,9,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,380198,706,0,14
2020-10-31,2020,10,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,388026,717,0,14
2020-11-30,2020,11,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,380127,712,1,16
2020-12-31,2020,12,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,379945,700,0,15
2021-01-31,2021,1,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,381001,700,0,12
2021-02-28,2021,2,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,380094,713,0,11
2021-03-31,2021,3,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,369619,714,1,17
2021-04-30,2021,4,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,372994,714,0,12
2021-05-31,2021,5,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,386140,713,0,14
2021-06-30,2021,6,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,372101,707,0,14
2021-07-31,2021,7,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,371933,719,0,10
2021-08-31,2021,8,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,385491,712,0,11
2021-09-30,2021,9,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,378853,711,0,16
2021-10-31,2021,10,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,367970,714,0,15
2021-11-30,2021,11,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,370542,718,1,16
2021-12-31,2021,12,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,377802,719,0,15
2022-01-31,2022,1,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,370644,717,0,10
2022-02-28,2022,2,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,370080,711,0,12
2022-03-31,2022,3,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,377896,711,1,15
2022-04-30,2022,4,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,378307,719,0,11
2022-05-31,2022,5,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,377079,717,0,11
2022-06-30,2022,6,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,382869,714,0,14
2022-07-31,2022,7,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,366869,716,0,9
2022-08-31,2022,8,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,378830,718,0,11
2022-09-30,2022,9,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,380327,715,0,19
2022-10-31,2022,10,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,386129,715,0,16
2022-11-30,2022,11,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,374423,707,1,16
2022-12-31,2022,12,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,377838,700,0,11
2023-01-31,2023,1,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,393060,705,0,9
2023-02-28,2023,2,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,373682,700,0,13
2023-03-31,2023,3,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,373274,702,1,16
2023-04-30,2023,4,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,387704,704,0,13
2023-05-31,2023,5,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,371439,701,0,13
2023-06-30,2023,6,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,393588,712,0,16
2023-07-31,2023,7,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,362246,715,0,11
2023-08-31,2023,8,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,373469,701,0,8
2023-09-30,2023,9,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,380211,708,0,14
2023-10-31,2023,10,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,374252,705,0,14
2023-11-30,2023,11,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,389160,713,1,15
2023-12-31,2023,12,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,379304,712,0,15
2024-01-31,2024,1,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,365631,707,0,11
2024-02-29,2024,2,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,374614,701,0,15
2024-03-31,2024,3,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,353564,703,1,12
2024-04-30,2024,4,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,362298,712,0,10
2024-05-31,2024,5,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,373194,707,0,12
2024-06-30,2024,6,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,376688,717,0,16
2024-07-31,2024,7,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,369400,701,0,12
2024-08-31,2024,8,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,374859,711,0,11
2024-09-30,2024,9,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,377073,707,0,13
2024-10-31,2024,10,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,371967,710,0,18
2024-11-30,2024,11,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,375214,719,1,15
2024-12-31,2024,12,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,372869,706,0,13
2025-01-31,2025,1,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,372707,702,0,14
2025-02-28,2025,2,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,383781,717,0,15
2025-03-31,2025,3,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,382782,705,1,16
2025-04-30,2025,4,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,380906,716,0,11
2025-05-31,2025,5,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,376791,707,0,13
2025-06-30,2025,6,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,372134,718,0,15
2025-07-31,2025,7,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,375378,715,0,13
2025-08-31,2025,8,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,374011,718,0,12
2025-09-30,2025,9,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,386321,706,0,13
2025-10-31,2025,10,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,375223,700,0,16
2025-11-30,2025,11,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,379271,719,1,14
2025-12-31,2025,12,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,390681,708,0,14
2026-01-31,2026,1,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,371951,713,0,12
2026-02-28,2026,2,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,386165,715,0,15
2026-03-31,2026,3,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,379902,701,1,15
2026-04-30,2026,4,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,363279,717,0,17
2026-05-31,2026,5,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,373396,702,0,13
2026-06-30,2026,6,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,384910,702,0,16
2026-07-31,2026,7,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,381959,701,0,11
2026-08-31,2026,8,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,384472,701,0,14
2016-01-31,2016,1,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,368614,716,0,5
2016-02-29,2016,2,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,374953,701,0,7
2016-03-31,2016,3,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,382838,708,1,8
2016-04-30,2016,4,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,377879,709,0,6
2016-05-31,2016,5,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,382934,714,0,5
2016-06-30,2016,6,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,384308,707,0,6
2016-07-31,2016,7,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,385905,704,0,5
2016-08-31,2016,8,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,380887,719,0,6
2016-09-30,2016,9,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,381114,719,0,5
2016-10-31,2016,10,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,398727,713,0,7
2016-11-30,2016,11,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,397736,711,1,6
2016-12-31,2016,12,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,379427,712,0,7
2017-01-31,2017,1,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,373310,709,0,5
2017-02-28,2017,2,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,388307,701,0,4
2017-03-31,2017,3,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,382773,706,1,9
2017-04-30,2017,4,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,384612,703,0,7
2017-05-31,2017,5,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,369461,718,0,8
2017-06-30,2017,6,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,379446,716,0,6
2017-07-31,2017,7,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,366314,719,0,7
2017-08-31,2017,8,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,382244,709,0,6
2017-09-30,2017,9,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,367265,701,0,5
2017-10-31,2017,10,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,382114,719,0,7
2017-11-30,2017,11,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,380078,715,1,7
2017-12-31,2017,12,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,377529,702,0,4
2018-01-31,2018,1,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,380717,704,0,6
2018-02-28,2018,2,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,388179,707,0,7
2018-03-31,2018,3,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,382400,710,1,6
2018-04-30,2018,4,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,380674,717,0,8
2018-05-31,2018,5,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,396118,717,0,8
2018-06-30,2018,6,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,371664,700,0,6
2018-07-31,2018,7,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,384885,714,0,7
2018-08-31,2018,8,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,376321,700,0,5
2018-09-30,2018,9,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,388163,707,0,4
2018-10-31,2018,10,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,386795,706,0,7
2018-11-30,2018,11,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,391686,707,1,7
2018-12-31,2018,12,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,387553,718,0,6
2019-01-31,2019,1,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,364687,709,0,5
2019-02-28,2019,2,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,376867,706,0,6
2019-03-31,2019,3,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,367550,701,1,7
2019-04-30,2019,4,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,369008,706,0,6
2019-05-31,2019,5,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,376461,713,0,6
2019-06-30,2019,6,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,373706,700,0,5
2019-07-31,2019,7,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,373106,703,0,4
2019-08-31,2019,8,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,366619,707,0,5
2019-09-30,2019,9,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,391011,700,0,5
2019-10-31,2019,10,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,380604,701,0,7
2019-11-30,2019,11,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,376105,716,1,6
2019-12-31,2019,12,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,371626,704,0,6
2020-01-31,2020,1,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,376169,712,0,3
2020-02-29,2020,2,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,373522,714,0,3
2020-03-31,2020,3,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,382582,710,1,7
2020-04-30,2020,4,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,370918,708,0,6
2020-05-31,2020,5,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,366142,705,0,6
2020-06-30,2020,6,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,376833,706,0,6
2020-07-31,2020,7,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,373371,702,0,4
2020-08-31,2020,8,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,379884,713,0,6
2020-09-30,2020,9,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,378180,701,0,7
2020-10-31,2020,10,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,396121,714,0,8
2020-11-30,2020,11,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,370429,705,1,6
2020-12-31,2020,12,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,388752,711,0,4
2021-01-31,2021,1,SP-BF-002,Mud Gun Piston Assembly & Nozzle,Blast Furnace,Mechanical Spares,Critical,60,180000,368030,702,0,6
