date,usd_inr_rate,diesel_price_inr_litre,industrial_power_tariff_inr_kwh,mn_ore_cif_usd_dmtu,imported_coke_cif_usd_mt,domestic_steel_scrap_inr_mt,simn_actual_procured_rate_inr_mt,simn_cost_predicted_should_cost,fesi_actual_procured_rate_inr_mt,fesi_cost_predicted_should_cost,femn_actual_procured_rate_inr_mt,femn_cost_predicted_should_cost,cpc_carbon_procured_rate_inr_mt,mcfemn_actual_procured_rate_inr_mt,fecr_actual_procured_rate_inr_mt
2018-09-01,72.51000213623047,79.28,5.76,275.2,377.2,34590.0,51293.0,49320.0,75477.0,71883.0,48462.0,46598.0,31248.0,56850.0,81385.0
2018-10-01,73.6500015258789,76.68,5.81,269.8,369.8,34707.0,51423.0,49445.0,75902.0,72287.0,48520.0,46654.0,31150.0,56918.0,82025.0
2018-11-01,69.91999816894531,66.97,5.65,254.9,349.5,32302.0,49144.0,47254.0,73945.0,70424.0,45924.0,44157.0,28771.0,53872.0,79453.0
2018-12-01,69.92250061035156,64.77,5.65,251.0,344.1,32057.0,48925.0,47043.0,73874.0,70356.0,45640.0,43885.0,28451.0,53539.0,79394.0
2019-01-01,71.12000274658203,69.1,5.7,258.0,353.6,32965.0,49764.0,47850.0,74525.0,70977.0,46616.0,44823.0,29376.0,54684.0,80239.0
2019-02-01,71.19000244140625,71.0,5.7,261.3,358.2,33201.0,49968.0,48046.0,74592.0,71040.0,46880.0,45077.0,29675.0,54994.0,80313.0
2019-03-01,69.43000030517578,71.04,5.62,262.5,359.9,32580.0,49349.0,47451.0,73781.0,70268.0,46255.0,44476.0,29240.0,54261.0,79193.0
2019-04-01,69.81179809570312,73.25,5.64,266.2,365.0,32961.0,49717.0,47805.0,74053.0,70527.0,46687.0,44891.0,29659.0,54767.0,79516.0
2019-05-01,69.9800033569336,69.61,5.65,259.6,355.9,32616.0,49421.0,47520.0,74033.0,70508.0,46281.0,44501.0,29170.0,54292.0,79542.0
2019-06-01,69.32499694824219,70.16,5.62,261.0,357.9,32444.0,49244.0,47350.0,73748.0,70236.0,46119.0,44345.0,29090.0,54101.0,79139.0
2019-07-01,69.07749938964844,69.39,5.61,259.8,356.2,32271.0,49086.0,47198.0,73620.0,70114.0,45936.0,44169.0,28915.0,53886.0,78970.0
2019-08-01,71.6801986694336,68.77,5.73,257.0,352.3,33127.0,49942.0,48021.0,74813.0,71251.0,46780.0,44980.0,29465.0,54876.0,80621.0
2019-09-01,70.49870300292969,68.08,5.67,256.5,351.7,32631.0,49433.0,47531.0,74191.0,70658.0,46253.0,44474.0,29075.0,54258.0,79804.0
2019-10-01,70.98999786376953,68.28,5.69,256.6,351.7,32827.0,49618.0,47709.0,74402.0,70859.0,46448.0,44662.0,29222.0,54488.0,80104.0
2019-11-01,71.72200012207031,69.69,5.73,258.6,354.5,33245.0,50043.0,48118.0,74846.0,71282.0,46910.0,45106.0,29612.0,55029.0,80658.0
2019-12-01,71.31099700927734,69.45,5.71,258.5,354.3,33072.0,49872.0,47954.0,74637.0,71083.0,46733.0,44936.0,29476.0,54822.0,80381.0
2020-01-01,71.63999938964844,67.72,5.72,255.2,349.8,32997.0,49790.0,47875.0,74687.0,71131.0,46605.0,44813.0,29301.0,54672.0,80505.0
2020-02-01,72.1500015258789,64.58,5.75,249.3,341.6,32829.0,49670.0,47760.0,74877.0,71311.0,46384.0,44600.0,28949.0,54412.0,80791.0
2020-03-01,75.4000015258789,66.47,5.89,250.6,343.3,34194.0,50953.0,48994.0,76360.0,72724.0,47736.0,45900.0,30002.0,55998.0,82847.0
2020-04-01,75.25849914550781,55.02,5.89,230.3,315.4,32872.0,49695.0,47784.0,75954.0,72338.0,46109.0,44335.0,28176.0,54089.0,82472.0
2020-05-01,75.51319885253906,59.7,5.9,238.5,326.6,33482.0,50280.0,48346.0,76219.0,72589.0,46843.0,45041.0,28963.0,54950.0,82757.0
2020-06-01,75.69999694824219,62.42,5.91,243.2,333.1,33851.0,50642.0,48694.0,76413.0,72774.0,47289.0,45470.0,29433.0,55474.0,82966.0
2020-07-01,74.98999786376953,62.98,5.87,244.6,335.1,33661.0,50430.0,48490.0,76039.0,72418.0,47103.0,45291.0,29360.0,55255.0,82476.0
2020-08-01,73.12830352783203,62.79,5.79,245.5,336.4,32978.0,49801.0,47885.0,75225.0,71643.0,46465.0,44678.0,28910.0,54507.0,81328.0
2020-09-01,73.84500122070312,61.26,5.82,242.3,332.0,33062.0,49871.0,47953.0,75477.0,71883.0,46490.0,44702.0,28839.0,54536.0,81718.0
2020-10-01,74.26399993896484,59.93,5.84,239.7,328.3,33064.0,49875.0,47957.0,75630.0,72029.0,46451.0,44665.0,28724.0,54491.0,81951.0
2020-11-01,73.94090270996094,59.74,5.83,239.5,328.2,32928.0,49763.0,47849.0,75519.0,71923.0,46328.0,44546.0,28627.0,54346.0,81778.0
2020-12-01,73.13400268554688,65.73,5.79,250.7,343.5,33306.0,50108.0,48180.0,75324.0,71737.0,46862.0,45060.0,29353.0,54973.0,81412.0
2021-01-01,72.90660095214844,67.43,5.78,253.9,347.9,33415.0,50210.0,48279.0,75280.0,71696.0,47017.0,45208.0,29560.0,55154.0,81319.0
2021-02-01,73.59590148925781,72.44,5.81,262.3,359.5,34217.0,50967.0,49007.0,75755.0,72147.0,47930.0,46087.0,30489.0,56226.0,81889.0
2021-03-01,73.44529724121094,71.19,5.81,260.2,356.6,34024.0,50811.0,48857.0,75704.0,72099.0,47729.0,45893.0,30262.0,55989.0,81809.0
2021-04-01,74.10579681396484,73.24,5.83,263.4,361.0,34487.0,51219.0,49249.0,75989.0,72370.0,48213.0,46358.0,30739.0,56557.0,82212.0
2021-05-01,72.39350128173828,73.32,5.76,264.7,362.8,33887.0,50656.0,48707.0,75272.0,71688.0,47637.0,45805.0,30325.0,55882.0,81183.0
2021-06-01,74.28759765625,76.9,5.84,269.8,369.8,34957.0,51680.0,49692.0,76214.0,72585.0,48787.0,46910.0,31351.0,57230.0,82447.0
2021-07-01,74.25199890136719,77.41,5.84,270.8,371.1,35002.0,51731.0,49742.0,76230.0,72600.0,48853.0,46974.0,31422.0,57309.0,82451.0
2021-08-01,73.41120147705078,76.93,5.8,270.4,370.7,34649.0,51368.0,49392.0,75808.0,72198.0,48471.0,46606.0,31132.0,56860.0,81887.0
2021-09-01,74.3219985961914,78.44,5.84,272.5,373.5,35141.0,51849.0,49855.0,76269.0,72637.0,49005.0,47120.0,31595.0,57487.0,82501.0
2021-10-01,74.79720306396484,81.35,5.87,277.4,380.2,35634.0,52366.0,50352.0,76665.0,73014.0,49609.0,47701.0,32172.0,58195.0,82951.0
2021-11-01,75.05490112304688,75.29,5.88,266.5,365.2,35052.0,51805.0,49812.0,76559.0,72914.0,48860.0,46981.0,31299.0,57317.0,82928.0
2021-12-01,74.43119812011719,78.17,5.85,272.0,372.8,35150.0,51882.0,49887.0,76356.0,72720.0,49026.0,47141.0,31586.0,57512.0,82601.0
2022-01-01,75.03900146484375,84.57,5.88,283.0,387.9,36077.0,52798.0,50767.0,76880.0,73219.0,50145.0,48216.0,32741.0,58824.0,83193.0
2022-02-01,75.06800079345703,88.98,5.88,290.8,398.6,36578.0,53275.0,51226.0,77034.0,73366.0,50763.0,48811.0,33434.0,59549.0,83329.0
2022-03-01,75.82779693603516,92.54,5.91,296.7,406.6,37243.0,53931.0,51857.0,77474.0,73785.0,51545.0,49563.0,34207.0,60467.0,83887.0
2022-04-01,76.58899688720703,93.62,5.95,298.1,408.6,37634.0,54357.0,52267.0,77918.0,74208.0,52009.0,50009.0,34600.0,61011.0,84450.0
2022-05-01,77.5208969116211,94.17,5.99,298.5,409.0,38026.0,54763.0,52657.0,78353.0,74622.0,52446.0,50429.0,34950.0,61523.0,85048.0
2022-06-01,78.89830017089844,97.43,6.05,303.4,415.7,38878.0,55641.0,53501.0,79095.0,75329.0,53451.0,51395.0,35878.0,62702.0,86014.0
2022-07-01,79.57150268554688,95.66,6.08,299.8,410.8,38921.0,55694.0,53552.0,79342.0,75564.0,53453.0,51397.0,35785.0,62704.0,86389.0
2022-08-01,79.68229675292969,89.64,6.09,289.1,396.0,38291.0,55074.0,52955.0,79217.0,75445.0,52628.0,50604.0,34821.0,61737.0,86312.0
2022-09-01,81.48059844970703,86.84,6.17,283.0,387.5,38620.0,55407.0,53276.0,79935.0,76128.0,52883.0,50849.0,34838.0,62036.0,87363.0
2022-10-01,82.23919677734375,90.37,6.2,288.8,395.4,39282.0,56081.0,53925.0,80381.0,76553.0,53690.0,51625.0,35640.0,62982.0,87927.0
2022-11-01,81.63089752197266,85.79,6.17,281.0,384.8,38556.0,55310.0,53183.0,79904.0,76099.0,52758.0,50729.0,34700.0,61889.0,87375.0
2022-12-01,82.739501953125,86.65,6.22,281.8,385.9,39046.0,55812.0,53665.0,80448.0,76617.0,53297.0,51247.0,35140.0,62521.0,88108.0
2023-01-01,81.57990264892578,85.98,6.17,281.4,385.3,38559.0,55325.0,53197.0,79908.0,76103.0,52777.0,50747.0,34718.0,61911.0,87366.0
2023-02-01,82.6520004272461,85.69,6.22,280.2,383.6,38908.0,55685.0,53543.0,80406.0,76577.0,53132.0,51089.0,34950.0,62328.0,88051.0
2023-03-01,82.10050201416016,83.51,6.19,276.7,378.8,38471.0,55211.0,53087.0,80024.0,76213.0,52585.0,50563.0,34435.0,61686.0,87593.0
2023-04-01,81.74539947509766,83.21,6.18,276.3,378.4,38310.0,55067.0,52949.0,79903.0,76098.0,52421.0,50405.0,34293.0,61494.0,87402.0
2023-05-01,82.68389892578125,80.65,6.22,271.2,371.3,38360.0,55094.0,52975.0,80216.0,76396.0,52367.0,50353.0,34095.0,61431.0,87900.0
2023-06-01,82.07540130615234,81.31,6.19,272.8,373.4,38217.0,54947.0,52834.0,79938.0,76131.0,52244.0,50235.0,34050.0,61286.0,87515.0
2023-07-01,82.25279998779297,86.21,6.2,281.3,385.2,38824.0,55589.0,53451.0,80223.0,76403.0,53053.0,51012.0,34931.0,62235.0,87798.0
2023-08-01,82.70040130615234,87.05,6.22,282.6,386.9,39077.0,55855.0,53707.0,80461.0,76629.0,53353.0,51301.0,35197.0,62587.0,88109.0
2023-09-01,83.19300079345703,91.14,6.24,289.5,396.4,39707.0,56508.0,54335.0,80825.0,76976.0,54154.0,52071.0,36031.0,63527.0,88537.0
2023-10-01,83.29650115966797,91.2,6.25,289.6,396.5,39750.0,56578.0,54402.0,80923.0,77070.0,54223.0,52137.0,36073.0,63607.0,88646.0
2023-11-01,83.3302993774414,85.61,6.25,279.6,382.8,39140.0,55916.0,53765.0,80710.0,76867.0,53366.0,51313.0,35114.0,62602.0,88475.0
2023-12-01,82.302001953125,82.4,6.2,274.6,375.9,38419.0,55156.0,53034.0,80082.0,76269.0,52492.0,50473.0,34297.0,61577.0,87692.0
2024-01-01,83.10970306396484,84.97,6.24,278.6,381.4,38992.0,55760.0,53615.0,80583.0,76746.0,53186.0,51140.0,34943.0,62391.0,88314.0
2024-02-01,82.91190338134766,85.72,6.23,280.1,383.4,39004.0,55776.0,53630.0,80511.0,76677.0,53228.0,51181.0,35020.0,62441.0,88204.0
2024-03-01,83.39299774169922,87.73,6.25,283.3,387.9,39399.0,56178.0,54018.0,80795.0,76948.0,53705.0,51640.0,35496.0,63000.0,88562.0
2024-04-01,83.45110321044922,87.94,6.26,283.7,388.4,39442.0,56258.0,54094.0,80896.0,77044.0,53786.0,51717.0,35551.0,63095.0,88662.0
2024-05-01,83.3208999633789,85.06,6.25,278.6,381.4,39076.0,55847.0,53699.0,80687.0,76845.0,53276.0,51227.0,35012.0,62497.0,88454.0
2024-06-01,83.45089721679688,87.29,6.26,282.5,386.8,39370.0,56177.0,54017.0,80871.0,77020.0,53682.0,51617.0,35437.0,62973.0,88640.0
2024-07-01,83.73899841308594,84.89,6.27,278.1,380.7,39206.0,55986.0,53832.0,80885.0,77033.0,53412.0,51357.0,35098.0,62656.0,88724.0
2024-08-01,83.89510345458984,84.12,6.28,276.6,378.6,39176.0,55958.0,53806.0,80952.0,77097.0,53355.0,51302.0,34998.0,62589.0,88819.0
2024-09-01,83.71640014648438,84.02,6.27,276.5,378.5,39101.0,55873.0,53724.0,80849.0,76999.0,53266.0,51217.0,34934.0,62485.0,88688.0
2024-10-01,84.08910369873047,81.69,6.28,272.2,372.5,38975.0,55703.0,53561.0,80869.0,77018.0,53025.0,50985.0,34625.0,62202.0,88798.0
2024-11-01,84.56189727783203,81.87,6.31,272.2,372.5,39163.0,55925.0,53774.0,81170.0,77305.0,53246.0,51198.0,34774.0,62462.0,89169.0
2024-12-01,85.7865982055664,82.58,6.36,272.7,373.1,39677.0,56425.0,54255.0,81712.0,77821.0,53782.0,51714.0,35206.0,63091.0,89929.0
2025-01-01,86.64700317382812,84.8,6.4,276.1,377.8,40230.0,57009.0,54816.0,82207.0,78292.0,54450.0,52356.0,35825.0,63874.0,90559.0
2025-02-01,87.3270034790039,83.58,6.43,273.5,374.2,40336.0,57096.0,54900.0,82464.0,78537.0,54496.0,52400.0,35776.0,63928.0,90944.0
2025-03-01,85.53880310058594,83.25,6.35,274.0,375.0,39663.0,56421.0,54251.0,81636.0,77749.0,53800.0,51730.0,35265.0,63111.0,89804.0
2025-04-01,85.1707992553711,77.8,6.33,264.6,362.0,38928.0,55616.0,53477.0,81222.0,77355.0,52802.0,50771.0,34207.0,61941.0,89365.0
2025-05-01,85.5156021118164,78.35,6.35,265.3,363.0,39112.0,55817.0,53671.0,81441.0,77563.0,53018.0,50979.0,34386.0,62194.0,89634.0
2025-06-01,85.4552993774414,78.32,6.35,265.3,363.0,39086.0,55804.0,53658.0,81437.0,77559.0,53001.0,50963.0,34367.0,62175.0,89615.0
2025-07-01,87.714599609375,83.51,6.45,273.1,373.6,40467.0,57231.0,55030.0,82660.0,78724.0,54627.0,52526.0,35855.0,64082.0,91205.0
2025-08-01,88.16699981689453,81.79,6.47,269.8,369.0,40436.0,57175.0,54976.0,82794.0,78851.0,54511.0,52414.0,35654.0,63945.0,91431.0
2025-09-01,88.70449829101562,81.61,6.49,269.1,368.1,40607.0,57321.0,55116.0,82995.0,79042.0,54656.0,52554.0,35754.0,64115.0,91733.0
2025-10-01,88.6344985961914,80.69,6.49,267.5,365.9,40480.0,57192.0,54992.0,82953.0,79003.0,54488.0,52393.0,35567.0,63919.0,91681.0
2025-11-01,89.34369659423828,80.26,6.52,266.3,364.2,40684.0,57376.0,55169.0,83241.0,79277.0,54661.0,52559.0,35658.0,64122.0,92100.0
2025-12-01,89.76940155029297,79.45,6.54,264.6,361.8,40746.0,57423.0,55215.0,83408.0,79436.0,54678.0,52575.0,35607.0,64141.0,92346.0
2026-01-01,91.68229675292969,84.99,6.63,273.2,373.6,42041.0,58820.0,56558.0,84546.0,80520.0,56287.0,54122.0,37115.0,66029.0,93779.0
2026-02-01,91.00740051269531,84.59,6.6,273.0,373.3,41758.0,58538.0,56287.0,84226.0,80215.0,55989.0,53835.0,36877.0,65679.0,93341.0
2026-03-01,94.35590362548828,86.54,6.75,274.3,374.9,43164.0,59963.0,57657.0,85829.0,81742.0,57502.0,55291.0,38068.0,67455.0,95522.0
2026-04-01,94.9166030883789,106.36,6.77,309.2,422.9,45565.0,62832.0,60415.0,86909.0,82770.0,61170.0,58817.0,42119.0,71757.0,96567.0
2026-05-01,95.00299835205078,96.52,6.78,291.6,398.8,44504.0,61548.0,59181.0,86572.0,82450.0,59487.0,57199.0,40204.0,69783.0,96306.0
2026-06-01,94.79049682617188,87.79,6.77,276.3,377.6,43458.0,60290.0,57971.0,86087.0,81988.0,57881.0,55655.0,38424.0,67899.0,95847.0
2026-07-01,95.68479919433594,96.05,6.81,290.4,397.0,44694.0,61733.0,59358.0,86859.0,82723.0,59660.0,57365.0,40289.0,69986.0,96717.0
2026-08-01,95.69000244140625,97.98,6.81,293.8,401.7,44909.0,61996.0,59611.0,86944.0,82804.0,60001.0,57693.0,40673.0,70385.0,96790.0
2026-08-01,95.69000244140625,97.21,6.81,292.4,399.8,44824.0,61888.0,59508.0,86910.0,82771.0,59861.0,57559.0,40518.0,70222.0,96761.0
2026-08-24,95.73500061035156,98.0,6.81,293.8,401.7,44928.0,62006.0,59622.0,86948.0,82807.0,60014.0,57706.0,40688.0,70401.0,96804.0
2026-08-24,95.73500061035156,97.23,6.81,292.4,399.8,44843.0,61899.0,59518.0,86913.0,82774.0,59875.0,57572.0,40534.0,70238.0,96775.0
